Subject,Activty,tBodyAcc-mean()-X,tBodyAcc-mean()-Y,tBodyAcc-mean()-Z,tBodyAcc-std()-X,tBodyAcc-std()-Y,tBodyAcc-std()-Z,tGravityAcc-mean()-X,tGravityAcc-mean()-Y,tGravityAcc-mean()-Z,tGravityAcc-std()-X,tGravityAcc-std()-Y,tGravityAcc-std()-Z,tBodyAccJerk-mean()-X,tBodyAccJerk-mean()-Y,tBodyAccJerk-mean()-Z,tBodyAccJerk-std()-X,tBodyAccJerk-std()-Y,tBodyAccJerk-std()-Z,tBodyGyro-mean()-X,tBodyGyro-mean()-Y,tBodyGyro-mean()-Z,tBodyGyro-std()-X,tBodyGyro-std()-Y,tBodyGyro-std()-Z,tBodyGyroJerk-mean()-X,tBodyGyroJerk-mean()-Y,tBodyGyroJerk-mean()-Z,tBodyGyroJerk-std()-X,tBodyGyroJerk-std()-Y,tBodyGyroJerk-std()-Z,tBodyAccMag-mean(),tBodyAccMag-std(),tGravityAccMag-mean(),tGravityAccMag-std(),tBodyAccJerkMag-mean(),tBodyAccJerkMag-std(),tBodyGyroMag-mean(),tBodyGyroMag-std(),tBodyGyroJerkMag-mean(),tBodyGyroJerkMag-std(),fBodyAcc-mean()-X,fBodyAcc-mean()-Y,fBodyAcc-mean()-Z,fBodyAcc-std()-X,fBodyAcc-std()-Y,fBodyAcc-std()-Z,fBodyAccJerk-mean()-X,fBodyAccJerk-mean()-Y,fBodyAccJerk-mean()-Z,fBodyAccJerk-std()-X,fBodyAccJerk-std()-Y,fBodyAccJerk-std()-Z,fBodyGyro-mean()-X,fBodyGyro-mean()-Y,fBodyGyro-mean()-Z,fBodyGyro-std()-X,fBodyGyro-std()-Y,fBodyGyro-std()-Z,fBodyAccMag-mean(),fBodyAccMag-std(),fBodyBodyAccJerkMag-mean(),fBodyBodyAccJerkMag-std(),fBodyBodyGyroMag-mean(),fBodyBodyGyroMag-std(),fBodyBodyGyroJerkMag-mean(),fBodyBodyGyroJerkMag-std()
1.0,LAYING,0.22159824394000002,-0.0405139534294,-0.11320355358,-0.9280564692,-0.83682740562,-0.826061401628,-0.24888179827999998,0.70554977346,0.4458177198,-0.8968300184,-0.9077200067600001,-0.85236629022,0.08108653419999999,0.0038382040088000002,0.010834236361,-0.958482112,-0.9241492736000001,-0.9548551108,-0.016553093978,-0.064486124088,0.14868943626,-0.87354386782,-0.9510904402,-0.9082846626,-0.107270949192,-0.04151728689,-0.0740501211,-0.9186085208,-0.9679072436,-0.9577901595999999,-0.8419291525,-0.79514486386,-0.8419291525,-0.79514486386,-0.9543962646,-0.9282456284,-0.874759548,-0.81901016976,-0.9634610299999999,-0.9358409828,-0.9390990524,-0.8670652051800001,-0.8826668762,-0.9244374346,-0.8336255561,-0.81289155944,-0.9570738838,-0.9224626098,-0.9480609042,-0.9641607086,-0.9322178703999999,-0.9605869871999999,-0.850249174586,-0.9521914948,-0.909302721,-0.8822964508,-0.9512320494,-0.9165825082000001,-0.8617676481,-0.7983009404000001,-0.9333003608,-0.9218039756,-0.8621901853999999,-0.82431943968,-0.9423669466,-0.9326606676
1.0,SITTING,0.2612375654255319,-0.0013082876517021282,-0.10454418225531914,-0.9772290082978723,-0.9226186419148936,-0.9395862910638298,0.8315099334042553,0.20441159268085105,0.3320437027659574,-0.9684571457446809,-0.9355170559574467,-0.9490409331914893,0.0774825199574468,-0.0006191027851063838,-0.003367792350212767,-0.9864307112765958,-0.9813719653191489,-0.9879108044680851,-0.045350056512765954,-0.09192415493617022,0.06293138119148936,-0.9772112831914893,-0.966473895319149,-0.9414259208510638,-0.09367938072340425,-0.040211812425531915,-0.046702627000000003,-0.9917315921276596,-0.9895180685106383,-0.9879358063829787,-0.9485367861702126,-0.9270784187234042,-0.9485367861702126,-0.9270784187234042,-0.987364195531915,-0.9841200240425532,-0.9308924900000001,-0.934531840425532,-0.9919763412765957,-0.9883087285106383,-0.9796412387234044,-0.9440845504255319,-0.9591848891489362,-0.9764123131914894,-0.9172750063829788,-0.9344695580851065,-0.9865970225531915,-0.9815794670212766,-0.9860530923404256,-0.9874929944680851,-0.982513909574468,-0.9883391848936169,-0.9761614640425532,-0.9758385853191489,-0.9513155444680851,-0.9779042270212766,-0.9623450425531915,-0.9439178410638297,-0.9477829225531915,-0.9284448017021276,-0.9852621268085107,-0.9816061774468084,-0.9584355893617021,-0.932198374893617,-0.9897975472340426,-0.9870496172340425
1.0,STANDING,0.2789176290566038,-0.016137590103773584,-0.11060181773584907,-0.9957599015094339,-0.9731900564150944,-0.9797758769811321,0.9429520003773585,-0.27298383226415096,0.01349058232264151,-0.9937629850943397,-0.9812259579245284,-0.9763240635849056,0.0753766542264151,0.007975730928301887,-0.0036852495470943393,-0.994604542264151,-0.9856487324528302,-0.9922511773584906,-0.02398773479792453,-0.05939722098113208,0.074800751,-0.9871919466037736,-0.98773444,-0.980645626981132,-0.09960921290566037,-0.04406278779245283,-0.04895054667169811,-0.9929451069811321,-0.9951379173584906,-0.9921084671698113,-0.9842782073584905,-0.9819429288679246,-0.9842782073584905,-0.9819429288679246,-0.9923677905660376,-0.9930962094339623,-0.9764937928301887,-0.9786900286792453,-0.9949667905660378,-0.9947332386792453,-0.9952499326415095,-0.9770708477358491,-0.9852970986792453,-0.9960283450943397,-0.9722931020754717,-0.9779372596226416,-0.9946307973584906,-0.9854187045283018,-0.9907521660377359,-0.995073759245283,-0.9870182267924529,-0.9923498181132074,-0.9863867860377359,-0.9889844558490566,-0.9807731228301887,-0.9874971286792452,-0.9871077277358491,-0.98234533,-0.9853563611320755,-0.9823138047169812,-0.9925424775471697,-0.9925360033962264,-0.9846176233962265,-0.9784660720754716,-0.9948153769811322,-0.9946711232075471
1.0,WALKING,0.2773307587368421,-0.017383818527368422,-0.11114810354736843,-0.28374025884210524,0.11446133674736841,-0.2600279022105263,0.9352232014736842,-0.2821650212631579,-0.068102864,-0.9766096425263158,-0.9713059614736843,-0.9477172261052631,0.07404163331578947,0.028272109588421048,-0.004168406177894738,-0.11361560243578948,0.06700250076842106,-0.5026997885263158,-0.041830963526,-0.06953004621157895,0.08494481730421052,-0.4735354858947369,-0.05460776865947368,-0.34426662947368425,-0.08999754237052632,-0.03984287094631579,-0.04613092950210526,-0.20742185475789474,-0.3044685106315789,-0.40425545263157897,-0.1369711765568421,-0.21968864563157894,-0.1369711765568421,-0.21968864563157894,-0.14142880903157895,-0.07447175006252632,-0.16097955253684212,-0.18697836452631578,-0.2987036790842105,-0.3253248788947368,-0.20279430632631582,0.08971272640210526,-0.3315601177894737,-0.3191347195789474,0.056040006846,-0.2796867514947368,-0.17054696454957896,-0.03522552411306316,-0.46899922463157895,-0.1335866063263158,0.106739857136,-0.5347134404210526,-0.33903219711578947,-0.10305941643473684,-0.25594094031578946,-0.5166919387368422,-0.03350815978842105,-0.43656222747368423,-0.12862345062947367,-0.3980325868421053,-0.05711940003431579,-0.10349240300210527,-0.19925256898631577,-0.32101795389473686,-0.3193085937789474,-0.3816019117894737
1.0,WALKING_DOWNSTAIRS,0.28925339375,-0.010475136310416668,-0.10640855467708334,0.030024597230645832,-0.028521803937499996,-0.23069093410416666,0.9321155768749999,-0.2665807404166667,-0.06193373529374999,-0.95060227875,-0.9371796454166667,-0.8952544112499999,0.07146669204166667,0.027526937562500003,-0.023487902039583338,-0.012683918283333333,-0.09805095669583334,-0.349098054875,-0.042929290721875006,-0.08764438379166667,0.08809233720729166,-0.45266022675,-0.12604273525,-0.12478213099791667,-0.072534060369375,-0.03753213142708333,-0.029489893837500003,-0.4851491454166667,-0.2401232189375,-0.26917928837291666,0.027606963637916666,0.021078103702083333,0.027606963637916666,0.021078103702083333,-0.08914347581458333,-0.028137224202083335,-0.07453666508333333,-0.22314315364583334,-0.295623363625,-0.3083036031458333,0.035936216550000004,0.005012496749166667,-0.22715245131249998,0.0252446596,-0.10981958641041667,-0.2973118325,-0.028920266979166664,-0.12531991176666665,-0.2921719875,-0.08568483969520833,-0.1310654959375,-0.4046247702083334,-0.3475403391,-0.05556842695833333,-0.03113024293125,-0.48995048872916663,-0.18103083654583332,-0.23883858375,0.09797186516458334,-0.18568274338750002,0.023530371910416667,-0.10590165215833335,-0.18525644273958333,-0.39400024033333336,-0.28391533520208334,-0.39337025320833335
1.0,WALKING_UPSTAIRS,0.2554616896226415,-0.023953149264339623,-0.09730200209433963,-0.35470802509433963,-0.0023202650169811324,-0.01947923884716981,0.8933510975471698,-0.36215336433962264,-0.07540293975471699,-0.9563670279245282,-0.9528492332075471,-0.9123794103773585,0.10137272992264151,0.019486307618867927,-0.04556254491132076,-0.44684388773584904,-0.37827442603773587,-0.7065935309433963,0.05054937975471698,-0.16617001508867926,0.05835954639811321,-0.5448711045283019,0.0041051837981132076,-0.5071686749056604,-0.12223276801132076,-0.042148588450943394,-0.0407125527654717,-0.614786508490566,-0.6016966562264151,-0.606332002264151,-0.12992763073584906,-0.32497092924528304,-0.12992763073584906,-0.32497092924528304,-0.46650344622641504,-0.4789916220754717,-0.12673558996981132,-0.14861931805283018,-0.5948828650943396,-0.6485530443396227,-0.4043217841509434,-0.19097672081132075,-0.4333497020754717,-0.33742818867924534,0.021769510656603774,0.08595655438490565,-0.4798752456603773,-0.4134445875471698,-0.6854743539622641,-0.4619070258490566,-0.3817770652830189,-0.726040200754717,-0.4926116679245283,-0.31947460905660374,-0.45359721301886796,-0.5658924907547169,0.15153890556603775,-0.57170784,-0.35239594471698116,-0.41626010150943393,-0.4426521624528302,-0.5330598537735849,-0.32596145739622645,-0.18298551826415096,-0.6346650820754717,-0.6939305215094339
2.0,LAYING,0.2813734039583333,-0.018158739758333334,-0.10724561041666668,-0.9740594647916666,-0.9802773987500001,-0.9842332968749999,-0.509754238125,0.752536639375,0.6468348795833333,-0.9590144414583333,-0.9882118652083333,-0.984230418125,0.08259725116666666,0.012254788451875,-0.0018026489562499998,-0.9858721687499999,-0.98317254125,-0.988442014375,-0.01847660675,-0.11180082458333333,0.14488284610416666,-0.9882752329166666,-0.9822916089583332,-0.9603065604166666,-0.10197413420833333,-0.035859017608333335,-0.07017830208333332,-0.9932358491666666,-0.9895675379166667,-0.98803582125,-0.9774354852083333,-0.9728739129166667,-0.9774354852083333,-0.9728739129166667,-0.9877416960416667,-0.98551807625,-0.9500115695833333,-0.9611640539583334,-0.9917670741666668,-0.9897180952083334,-0.9767250597916667,-0.9798008779166666,-0.9843809818749999,-0.9732464820833333,-0.981025105625,-0.984792185,-0.9858136308333334,-0.9827682504166666,-0.9861971345833332,-0.9872502558333333,-0.9849873929166666,-0.9893453685416667,-0.9864311425,-0.9833216354166666,-0.9626718875,-0.9888606858333334,-0.9819106164583333,-0.9631742222916667,-0.9751101964583334,-0.9751213879166666,-0.9853741147916667,-0.9845684891666666,-0.9721129727083334,-0.96109837875,-0.9902487022916667,-0.9894926604166666
2.0,SITTING,0.27708735173913046,-0.01568799372826087,-0.10921827245652174,-0.9868222795652174,-0.9507044991304348,-0.9598281717391304,0.9404772730434783,-0.10563002449878262,0.1987267687608696,-0.9799887608695651,-0.9567502730434783,-0.9544158730434783,0.0722564387173913,0.011695451132391305,0.0076054692986956525,-0.9880558541304347,-0.9779839554347826,-0.9875182117391305,-0.04547066204347826,-0.05992867970434782,0.04122774621739131,-0.985742027826087,-0.9789195269565217,-0.9598037086956522,-0.0936328412826087,-0.04156020291304348,-0.043585096649999995,-0.9897090230434782,-0.9908896147826087,-0.9855423256521739,-0.9678936239130435,-0.9530814441304348,-0.9678936239130435,-0.9530814441304348,-0.9867747130434783,-0.9844758680434783,-0.946035087173913,-0.9613136241304348,-0.9910814939130436,-0.9895949195652173,-0.985803840652174,-0.957343498478261,-0.9701621726086956,-0.9873620899999999,-0.9500737541304348,-0.9568628641304349,-0.9878487936956521,-0.9771397028260869,-0.9851290502173913,-0.9894591073913044,-0.9808042284782609,-0.9885708041304347,-0.9826213895652174,-0.9821009236956522,-0.9598148223913043,-0.9868085015217392,-0.9773561886956522,-0.9635226597826086,-0.9612737482608695,-0.955575602173913,-0.9838746989130435,-0.9841241858695653,-0.9718405960869565,-0.9613857452173913,-0.9898619508695653,-0.9896329089130435
2.0,STANDING,0.27791147222222223,-0.018420827016666665,-0.10590853605555556,-0.9872718892592592,-0.9573049892592592,-0.9497418512962962,0.8969285668518518,-0.3700626968518519,0.12974716122222224,-0.9866858187037038,-0.9741944203703704,-0.9459270787037036,0.07475885975925926,0.010329177479444444,-0.008371588467222222,-0.9810857155555555,-0.9710594396296296,-0.9828414464814814,-0.023862387571296297,-0.08203965775925927,0.08783516954814816,-0.9729986298148148,-0.9714419964814816,-0.9648567018518519,-0.1055621578888889,-0.04224195353703704,-0.05465394794259259,-0.9793240007407407,-0.9834472585185184,-0.9736101183333333,-0.9658751812962962,-0.957874965,-0.9658751812962962,-0.957874965,-0.9804890774074074,-0.9766752801851851,-0.9634663418518519,-0.9539433803703703,-0.9839519042592593,-0.9772044277777778,-0.9839467398148147,-0.9598716974074074,-0.9624711957407407,-0.9890564698148148,-0.9579088422222222,-0.9464335835185186,-0.9809732416666667,-0.970851337962963,-0.979775152037037,-0.9830079237037036,-0.9735202411111111,-0.9845999051851853,-0.967037112037037,-0.972576152962963,-0.9606276961111112,-0.9749881246296297,-0.9710360503703703,-0.9697542957407408,-0.9640521664814814,-0.9605193814814815,-0.9770652955555555,-0.97516046,-0.9617759048148149,-0.9567887257407407,-0.9778498274074074,-0.9777542981481482
2.0,WALKING,0.27642658644067797,-0.018594919914576274,-0.1055003579661017,-0.4236428384745763,-0.0780912533118644,-0.42525752491525426,0.9130173333898305,-0.34660709,0.08472708711864406,-0.9726932013559322,-0.972116879661017,-0.9720728476271187,0.06180806962796611,0.018249267928813557,0.007895337066101694,-0.27753046262033904,-0.01660223628474576,-0.5860904189830508,-0.05302581573474576,-0.04823823169491526,0.0828336633220339,-0.5615502557627119,-0.5384536677966102,-0.4810855350847457,-0.08188334291525423,-0.05382994490677966,-0.051493915683050846,-0.3895498315254237,-0.634140436101695,-0.43549267728813557,-0.29040759372881353,-0.4225441693220339,-0.29040759372881353,-0.4225441693220339,-0.28142415388135594,-0.16415098512711865,-0.4465490928813559,-0.5530199162711864,-0.547911950338983,-0.5577981513559322,-0.3460481610169492,-0.02190481033220339,-0.4538063698305085,-0.45765138372881353,-0.16921968620338984,-0.45522214644067793,-0.3046153228813559,-0.07876408366101695,-0.554956709661017,-0.31431306340677967,-0.01533295200847458,-0.6158981884745762,-0.42971353610169494,-0.5547721122033897,-0.39665990745762714,-0.6040530191525424,-0.5330469525423729,-0.5598566350847458,-0.32428942793220333,-0.5771052116949152,-0.1690643528135593,-0.16409196944915255,-0.5307048147457627,-0.651792839661017,-0.5832492933898306,-0.5581045547457628
2.0,WALKING_DOWNSTAIRS,0.2776153480638298,-0.02266141583617021,-0.11681294238297872,0.04636668144468085,0.26288178895106384,-0.1028379080638298,0.8618313455319149,-0.3257801006382979,-0.043889016272340424,-0.9403617595744681,-0.9400685255319149,-0.9314383131914894,0.11004061556957447,-0.0032795908148936185,-0.020935167776595747,0.14724914323829788,0.1268280145574468,-0.3401220231914894,-0.11594735287234043,-0.004823292319148937,0.09717380890638297,-0.3207892300085106,-0.415739144893617,-0.2794183880425532,-0.05810384985106383,-0.04214702575319149,-0.0710229816893617,-0.2439405925531915,-0.46939670110638293,-0.21826631860638296,0.08995112049787234,0.21558633488936169,0.08995112049787234,0.21558633488936169,0.005655163351063828,0.22961718512765955,-0.16218858693042554,-0.27484411053191493,-0.41087267148936174,-0.3431878754042553,0.11284116032553192,0.2783450417659575,-0.131290772,0.016104619859574464,0.17197397295744682,-0.16203289428723405,0.13812068108723405,0.09620916076170213,-0.271498721106383,0.049959062482978725,0.08083334912765958,-0.40822742319148936,-0.14577597040638296,-0.361913824,-0.08749447360851063,-0.37943667436170214,-0.4587327474468085,-0.422987665106383,0.2934248265914894,-0.02147878817234043,0.22224740957659575,0.2274807325425532,-0.32083854355319147,-0.37257675536170215,-0.3801753064893617,-0.34369898542553196
